=== Spjall WebSocket Server ===
Listening on ws://0.0.0.0:8081
[<] ws_694ff7056d4c3: {"type":"ping","payload":{}}
[>] ws_694ff7056d4c3: {"type":"pong","payload":[]}
[<] ws_694ff7056d4c3: {"type":"ping","payload":{}}
[>] ws_694ff7056d4c3: {"type":"pong","payload":[]}
[<] ws_694ff7056d4c3: {"type":"ping","payload":{}}
[>] ws_694ff7056d4c3: {"type":"pong","payload":[]}
[<] ws_694ff7056d4c3: {"type":"ping","payload":{}}
[>] ws_694ff7056d4c3: {"type":"pong","payload":[]}
[<] ws_694ff7056d4c3: {"type":"ping","payload":{}}
[>] ws_694ff7056d4c3: {"type":"pong","payload":[]}
[<] ws_694ff7056d4c3: {"type":"ping","payload":{}}
[>] ws_694ff7056d4c3: {"type":"pong","payload":[]}
[<] ws_694ff7056d4c3: {"type":"ping","payload":{}}
[>] ws_694ff7056d4c3: {"type":"pong","payload":[]}
[<] ws_694ff7056d4c3: {"type":"ping","payload":{}}
[>] ws_694ff7056d4c3: {"type":"pong","payload":[]}
[<] ws_694ff7056d4c3: {"type":"ping","payload":{}}
[>] ws_694ff7056d4c3: {"type":"pong","payload":[]}
[<] ws_694ff7056d4c3: {"type":"ping","payload":{}}
[>] ws_694ff7056d4c3: {"type":"pong","payload":[]}
[<] ws_694ff7056d4c3: {"type":"ping","payload":{}}
[>] ws_694ff7056d4c3: {"type":"pong","payload":[]}
[<] ws_694ff7056d4c3: {"type":"ping","payload":{}}
[>] ws_694ff7056d4c3: {"type":"pong","payload":[]}
[+] New connection: ws_69501a4aad675
[*] Handshake complete: ws_69501a4aad675
[-] Disconnected: ws_694ff7056d4c3
[>] ws_694ff7056d4c3: {"type":"user_offline","payload":{"user_id":1}}
[-] Disconnected: ws_69501a4aad675
[+] New connection: ws_69501a613714c
[*] Handshake complete: ws_69501a613714c
[<] ws_69501a613714c: {"type":"auth","payload":{"token":"3831ee936c213e71416e4f4f8a856fde857b5f7f9609652b6197b882951034d0"}}
[>] ws_69501a613714c: {"type":"auth_ok","payload":{"user":{"id":1,"nickname":"Valdegg"},"conversations...
[<] ws_69501a613714c: {"type":"load_history","payload":{"conversation_id":1,"before":1766678506,"limit":50}}
[>] ws_69501a613714c: {"type":"history","payload":{"conversation_id":1,"messages":[],"has_more":false,...
[<] ws_69501a613714c: {"type":"ping","payload":{}}
[>] ws_69501a613714c: {"type":"pong","payload":[]}
[<] ws_69501a613714c: {"type":"ping","payload":{}}
[>] ws_69501a613714c: {"type":"pong","payload":[]}
[<] ws_69501a613714c: {"type":"ping","payload":{}}
[>] ws_69501a613714c: {"type":"pong","payload":[]}
[<] ws_69501a613714c: {"type":"ping","payload":{}}
[>] ws_69501a613714c: {"type":"pong","payload":[]}
[<] ws_69501a613714c: {"type":"ping","payload":{}}
[>] ws_69501a613714c: {"type":"pong","payload":[]}
[<] ws_69501a613714c: {"type":"ping","payload":{}}
[>] ws_69501a613714c: {"type":"pong","payload":[]}
[<] ws_69501a613714c: {"type":"ping","payload":{}}
[>] ws_69501a613714c: {"type":"pong","payload":[]}
[<] ws_69501a613714c: {"type":"ping","payload":{}}
[>] ws_69501a613714c: {"type":"pong","payload":[]}
[<] ws_69501a613714c: {"type":"ping","payload":{}}
[>] ws_69501a613714c: {"type":"pong","payload":[]}
[<] ws_69501a613714c: {"type":"ping","payload":{}}
[>] ws_69501a613714c: {"type":"pong","payload":[]}
[<] ws_69501a613714c: {"type":"ping","payload":{}}
[>] ws_69501a613714c: {"type":"pong","payload":[]}
[<] ws_69501a613714c: {"type":"ping","payload":{}}
[>] ws_69501a613714c: {"type":"pong","payload":[]}
[<] ws_69501a613714c: {"type":"ping","payload":{}}
[>] ws_69501a613714c: {"type":"pong","payload":[]}
[<] ws_69501a613714c: {"type":"ping","payload":{}}
[>] ws_69501a613714c: {"type":"pong","payload":[]}
[<] ws_69501a613714c: {"type":"ping","payload":{}}
[>] ws_69501a613714c: {"type":"pong","payload":[]}
[<] ws_69501a613714c: {"type":"ping","payload":{}}
[>] ws_69501a613714c: {"type":"pong","payload":[]}
[<] ws_69501a613714c: {"type":"ping","payload":{}}
[>] ws_69501a613714c: {"type":"pong","payload":[]}
[<] ws_69501a613714c: {"type":"ping","payload":{}}
[>] ws_69501a613714c: {"type":"pong","payload":[]}
[<] ws_69501a613714c: {"type":"ping","payload":{}}
[>] ws_69501a613714c: {"type":"pong","payload":[]}
[<] ws_69501a613714c: {"type":"ping","payload":{}}
[>] ws_69501a613714c: {"type":"pong","payload":[]}
[<] ws_69501a613714c: {"type":"ping","payload":{}}
[>] ws_69501a613714c: {"type":"pong","payload":[]}
[<] ws_69501a613714c: {"type":"ping","payload":{}}
[>] ws_69501a613714c: {"type":"pong","payload":[]}
[<] ws_69501a613714c: {"type":"ping","payload":{}}
[>] ws_69501a613714c: {"type":"pong","payload":[]}
[<] ws_69501a613714c: {"type":"ping","payload":{}}
[>] ws_69501a613714c: {"type":"pong","payload":[]}
[<] ws_69501a613714c: {"type":"ping","payload":{}}
[>] ws_69501a613714c: {"type":"pong","payload":[]}
[<] ws_69501a613714c: {"type":"ping","payload":{}}
[>] ws_69501a613714c: {"type":"pong","payload":[]}
[<] ws_69501a613714c: {"type":"ping","payload":{}}
[>] ws_69501a613714c: {"type":"pong","payload":[]}
[<] ws_69501a613714c: {"type":"ping","payload":{}}
[>] ws_69501a613714c: {"type":"pong","payload":[]}
[<] ws_69501a613714c: {"type":"ping","payload":{}}
[>] ws_69501a613714c: {"type":"pong","payload":[]}
[<] ws_69501a613714c: {"type":"ping","payload":{}}
[>] ws_69501a613714c: {"type":"pong","payload":[]}
[<] ws_69501a613714c: {"type":"ping","payload":{}}
[>] ws_69501a613714c: {"type":"pong","payload":[]}
[<] ws_69501a613714c: {"type":"ping","payload":{}}
[>] ws_69501a613714c: {"type":"pong","payload":[]}
[<] ws_69501a613714c: {"type":"ping","payload":{}}
[>] ws_69501a613714c: {"type":"pong","payload":[]}
[<] ws_69501a613714c: {"type":"ping","payload":{}}
[>] ws_69501a613714c: {"type":"pong","payload":[]}
[-] Disconnected: ws_69501a613714c
[>] ws_69501a613714c: {"type":"user_offline","payload":{"user_id":1}}
[+] New connection: ws_6950280ee869b
[*] Handshake complete: ws_6950280ee869b
[<] ws_6950280ee869b: {"type":"auth","payload":{"token":"3831ee936c213e71416e4f4f8a856fde857b5f7f9609652b6197b882951034d0"}}
[>] ws_6950280ee869b: {"type":"auth_ok","payload":{"user":{"id":1,"nickname":"Valdegg"},"conversations...
[<] ws_6950280ee869b: {"type":"load_history","payload":{"conversation_id":1,"before":1766860815,"limit":50}}
[>] ws_6950280ee869b: {"type":"history","payload":{"conversation_id":1,"messages":[{"id":1,"conversati...
[<] ws_6950280ee869b: {"type":"ping","payload":{}}
[>] ws_6950280ee869b: {"type":"pong","payload":[]}
[<] ws_6950280ee869b: {"type":"ping","payload":{}}
[>] ws_6950280ee869b: {"type":"pong","payload":[]}
[<] ws_6950280ee869b: {"type":"ping","payload":{}}
[>] ws_6950280ee869b: {"type":"pong","payload":[]}
[<] ws_6950280ee869b: {"type":"ping","payload":{}}
[>] ws_6950280ee869b: {"type":"pong","payload":[]}
[<] ws_6950280ee869b: {"type":"send_message","payload":{"conversation_id":1,"content":"árið á enda og var að pæla í hvaða bækur stóðu upp úr þetta árið...  hefur einhver lesið Wheel of Time?  https://www.goodreads.com/book/show/228665.The_Eye_of_the_World"}}
[>] ws_6950280ee869b: {"type":"message","payload":{"id":65,"conversation_id":1,"user_id":1,"content":"...
[<] ws_6950280ee869b: {"type":"ping","payload":{}}
[>] ws_6950280ee869b: {"type":"pong","payload":[]}
[<] ws_6950280ee869b: {"type":"ping","payload":{}}
[>] ws_6950280ee869b: {"type":"pong","payload":[]}
[<] ws_6950280ee869b: {"type":"ping","payload":{}}
[>] ws_6950280ee869b: {"type":"pong","payload":[]}
[<] ws_6950280ee869b: {"type":"ping","payload":{}}
[>] ws_6950280ee869b: {"type":"pong","payload":[]}
[<] ws_6950280ee869b: {"type":"ping","payload":{}}
[>] ws_6950280ee869b: {"type":"pong","payload":[]}
[<] ws_6950280ee869b: {"type":"ping","payload":{}}
[>] ws_6950280ee869b: {"type":"pong","payload":[]}
[<] ws_6950280ee869b: {"type":"ping","payload":{}}
[>] ws_6950280ee869b: {"type":"pong","payload":[]}
[<] ws_6950280ee869b: {"type":"ping","payload":{}}
[>] ws_6950280ee869b: {"type":"pong","payload":[]}
[<] ws_6950280ee869b: {"type":"ping","payload":{}}
[>] ws_6950280ee869b: {"type":"pong","payload":[]}
[<] ws_6950280ee869b: {"type":"ping","payload":{}}
[>] ws_6950280ee869b: {"type":"pong","payload":[]}
[<] ws_6950280ee869b: {"type":"ping","payload":{}}
[>] ws_6950280ee869b: {"type":"pong","payload":[]}
[<] ws_6950280ee869b: {"type":"ping","payload":{}}
[>] ws_6950280ee869b: {"type":"pong","payload":[]}
[<] ws_6950280ee869b: {"type":"ping","payload":{}}
[>] ws_6950280ee869b: {"type":"pong","payload":[]}
[<] ws_6950280ee869b: {"type":"ping","payload":{}}
[>] ws_6950280ee869b: {"type":"pong","payload":[]}
[<] ws_6950280ee869b: {"type":"ping","payload":{}}
[>] ws_6950280ee869b: {"type":"pong","payload":[]}
[<] ws_6950280ee869b: {"type":"ping","payload":{}}
[>] ws_6950280ee869b: {"type":"pong","payload":[]}
[<] ws_6950280ee869b: {"type":"ping","payload":{}}
[>] ws_6950280ee869b: {"type":"pong","payload":[]}
[<] ws_6950280ee869b: {"type":"ping","payload":{}}
[>] ws_6950280ee869b: {"type":"pong","payload":[]}
[<] ws_6950280ee869b: {"type":"ping","payload":{}}
[>] ws_6950280ee869b: {"type":"pong","payload":[]}
[<] ws_6950280ee869b: {"type":"ping","payload":{}}
[>] ws_6950280ee869b: {"type":"pong","payload":[]}
[<] ws_6950280ee869b: {"type":"ping","payload":{}}
[>] ws_6950280ee869b: {"type":"pong","payload":[]}
[<] ws_6950280ee869b: {"type":"ping","payload":{}}
[>] ws_6950280ee869b: {"type":"pong","payload":[]}
[<] ws_6950280ee869b: {"type":"ping","payload":{}}
[>] ws_6950280ee869b: {"type":"pong","payload":[]}
[<] ws_6950280ee869b: {"type":"ping","payload":{}}
[>] ws_6950280ee869b: {"type":"pong","payload":[]}
[<] ws_6950280ee869b: {"type":"ping","payload":{}}
[>] ws_6950280ee869b: {"type":"pong","payload":[]}
[<] ws_6950280ee869b: {"type":"ping","payload":{}}
[>] ws_6950280ee869b: {"type":"pong","payload":[]}
[<] ws_6950280ee869b: {"type":"ping","payload":{}}
[>] ws_6950280ee869b: {"type":"pong","payload":[]}
[<] ws_6950280ee869b: {"type":"ping","payload":{}}
[>] ws_6950280ee869b: {"type":"pong","payload":[]}
[<] ws_6950280ee869b: {"type":"ping","payload":{}}
[>] ws_6950280ee869b: {"type":"pong","payload":[]}
[<] ws_6950280ee869b: {"type":"ping","payload":{}}
[>] ws_6950280ee869b: {"type":"pong","payload":[]}
[<] ws_6950280ee869b: {"type":"ping","payload":{}}
[>] ws_6950280ee869b: {"type":"pong","payload":[]}
[<] ws_6950280ee869b: {"type":"ping","payload":{}}
[>] ws_6950280ee869b: {"type":"pong","payload":[]}
[-] Disconnected: ws_6950280ee869b
[>] ws_6950280ee869b: {"type":"user_offline","payload":{"user_id":1}}
[+] New connection: ws_6950395894304
[*] Handshake complete: ws_6950395894304
[<] ws_6950395894304: {"type":"auth","payload":{"token":"3831ee936c213e71416e4f4f8a856fde857b5f7f9609652b6197b882951034d0"}}
[>] ws_6950395894304: {"type":"auth_ok","payload":{"user":{"id":1,"nickname":"Valdegg"},"conversations...
[<] ws_6950395894304: {"type":"load_history","payload":{"conversation_id":1,"before":1766865240,"limit":50}}
[>] ws_6950395894304: {"type":"history","payload":{"conversation_id":1,"messages":[{"id":1,"conversati...
[<] ws_6950395894304: {"type":"ping","payload":{}}
[>] ws_6950395894304: {"type":"pong","payload":[]}
[<] ws_6950395894304: {"type":"ping","payload":{}}
[>] ws_6950395894304: {"type":"pong","payload":[]}
[<] ws_6950395894304: {"type":"ping","payload":{}}
[>] ws_6950395894304: {"type":"pong","payload":[]}
[<] ws_6950395894304: {"type":"ping","payload":{}}
[>] ws_6950395894304: {"type":"pong","payload":[]}
[<] ws_6950395894304: {"type":"send_message","payload":{"conversation_id":1,"content":"or any read any good books this year?"}}
[>] ws_6950395894304: {"type":"message","payload":{"id":66,"conversation_id":1,"user_id":1,"content":"...
[<] ws_6950395894304: {"type":"ping","payload":{}}
[>] ws_6950395894304: {"type":"pong","payload":[]}
[<] ws_6950395894304: {"type":"ping","payload":{}}
[>] ws_6950395894304: {"type":"pong","payload":[]}
[<] ws_6950395894304: {"type":"ping","payload":{}}
[>] ws_6950395894304: {"type":"pong","payload":[]}
[<] ws_6950395894304: {"type":"ping","payload":{}}
[>] ws_6950395894304: {"type":"pong","payload":[]}
[<] ws_6950395894304: {"type":"ping","payload":{}}
[>] ws_6950395894304: {"type":"pong","payload":[]}
[-] Disconnected: ws_6950395894304
[>] ws_6950395894304: {"type":"user_offline","payload":{"user_id":1}}
[+] New connection: ws_69504ec9341fc
[*] Handshake complete: ws_69504ec9341fc
[<] ws_69504ec9341fc: {"type":"auth","payload":{"token":"3831ee936c213e71416e4f4f8a856fde857b5f7f9609652b6197b882951034d0"}}
[>] ws_69504ec9341fc: {"type":"auth_ok","payload":{"user":{"id":1,"nickname":"Valdegg"},"conversations...
[<] ws_69504ec9341fc: {"type":"load_history","payload":{"conversation_id":1,"before":1766870729,"limit":50}}
[>] ws_69504ec9341fc: {"type":"history","payload":{"conversation_id":1,"messages":[{"id":1,"conversati...
[<] ws_69504ec9341fc: {"type":"ping","payload":{}}
[>] ws_69504ec9341fc: {"type":"pong","payload":[]}
[<] ws_69504ec9341fc: {"type":"ping","payload":{}}
[>] ws_69504ec9341fc: {"type":"pong","payload":[]}
[<] ws_69504ec9341fc: {"type":"ping","payload":{}}
[>] ws_69504ec9341fc: {"type":"pong","payload":[]}
[<] ws_69504ec9341fc: {"type":"ping","payload":{}}
[>] ws_69504ec9341fc: {"type":"pong","payload":[]}
[<] ws_69504ec9341fc: {"type":"ping","payload":{}}
[>] ws_69504ec9341fc: {"type":"pong","payload":[]}
[<] ws_69504ec9341fc: {"type":"ping","payload":{}}
[>] ws_69504ec9341fc: {"type":"pong","payload":[]}
[<] ws_69504ec9341fc: {"type":"ping","payload":{}}
[>] ws_69504ec9341fc: {"type":"pong","payload":[]}
[<] ws_69504ec9341fc: {"type":"ping","payload":{}}
[>] ws_69504ec9341fc: {"type":"pong","payload":[]}
[<] ws_69504ec9341fc: {"type":"ping","payload":{}}
[>] ws_69504ec9341fc: {"type":"pong","payload":[]}
[<] ws_69504ec9341fc: {"type":"ping","payload":{}}
[>] ws_69504ec9341fc: {"type":"pong","payload":[]}
[<] ws_69504ec9341fc: {"type":"ping","payload":{}}
[>] ws_69504ec9341fc: {"type":"pong","payload":[]}
[<] ws_69504ec9341fc: {"type":"ping","payload":{}}
[>] ws_69504ec9341fc: {"type":"pong","payload":[]}
[<] ws_69504ec9341fc: {"type":"ping","payload":{}}
[>] ws_69504ec9341fc: {"type":"pong","payload":[]}
[<] ws_69504ec9341fc: {"type":"ping","payload":{}}
[>] ws_69504ec9341fc: {"type":"pong","payload":[]}
[<] ws_69504ec9341fc: {"type":"ping","payload":{}}
[>] ws_69504ec9341fc: {"type":"pong","payload":[]}
[<] ws_69504ec9341fc: {"type":"ping","payload":{}}
[>] ws_69504ec9341fc: {"type":"pong","payload":[]}
[<] ws_69504ec9341fc: {"type":"ping","payload":{}}
[>] ws_69504ec9341fc: {"type":"pong","payload":[]}
[<] ws_69504ec9341fc: {"type":"ping","payload":{}}
[>] ws_69504ec9341fc: {"type":"pong","payload":[]}
[+] New connection: ws_6950538a2f694
[*] Handshake complete: ws_6950538a2f694
[<] ws_6950538a2f694: {"type":"auth","payload":{"token":"7a9d18e0c147efe8e36621461304b3a5f7307698774a67ebf3f33ffcbbf9ba56"}}
[>] ws_6950538a2f694: {"type":"auth_ok","payload":{"user":{"id":8,"nickname":"Bjartur"},"conversations...
[>] ws_69504ec9341fc: {"type":"user_online","payload":{"user":{"id":8,"nickname":"Bjartur"}}}
[<] ws_6950538a2f694: {"type":"load_history","payload":{"conversation_id":1,"before":1766871946,"limit":50}}
[>] ws_6950538a2f694: {"type":"history","payload":{"conversation_id":1,"messages":[{"id":1,"conversati...
[<] ws_6950538a2f694: {"type":"ping","payload":{}}
[>] ws_6950538a2f694: {"type":"pong","payload":[]}
[<] ws_6950538a2f694: {"type":"ping","payload":{}}
[>] ws_6950538a2f694: {"type":"pong","payload":[]}
[<] ws_6950538a2f694: {"type":"ping","payload":{}}
[>] ws_6950538a2f694: {"type":"pong","payload":[]}
[<] ws_6950538a2f694: {"type":"send_message","payload":{"conversation_id":1,"content":"Bókalesturinn litast ansi mikið af náminu. En já, að senda eða taka á móti skammtaskilaboðum væri óendanlega nett!"}}
[>] ws_69504ec9341fc: {"type":"message","payload":{"id":67,"conversation_id":1,"user_id":8,"content":"...
[>] ws_6950538a2f694: {"type":"message","payload":{"id":67,"conversation_id":1,"user_id":8,"content":"...
[<] ws_69504ec9341fc: {"type":"ping","payload":{}}
[>] ws_69504ec9341fc: {"type":"pong","payload":[]}
[-] Disconnected: ws_6950538a2f694
[>] ws_69504ec9341fc: {"type":"user_offline","payload":{"user_id":8}}
[>] ws_6950538a2f694: {"type":"user_offline","payload":{"user_id":8}}
[<] ws_69504ec9341fc: {"type":"ping","payload":{}}
[>] ws_69504ec9341fc: {"type":"pong","payload":[]}
[<] ws_69504ec9341fc: {"type":"ping","payload":{}}
[>] ws_69504ec9341fc: {"type":"pong","payload":[]}
[<] ws_69504ec9341fc: {"type":"ping","payload":{}}
[>] ws_69504ec9341fc: {"type":"pong","payload":[]}
[<] ws_69504ec9341fc: {"type":"ping","payload":{}}
[>] ws_69504ec9341fc: {"type":"pong","payload":[]}
[<] ws_69504ec9341fc: {"type":"ping","payload":{}}
[>] ws_69504ec9341fc: {"type":"pong","payload":[]}
[<] ws_69504ec9341fc: {"type":"ping","payload":{}}
[>] ws_69504ec9341fc: {"type":"pong","payload":[]}
[<] ws_69504ec9341fc: {"type":"ping","payload":{}}
[>] ws_69504ec9341fc: {"type":"pong","payload":[]}
[+] New connection: ws_6950578ed0394
[*] Handshake complete: ws_6950578ed0394
[<] ws_6950578ed0394: {"type":"auth","payload":{"token":"7a9d18e0c147efe8e36621461304b3a5f7307698774a67ebf3f33ffcbbf9ba56"}}
[>] ws_6950578ed0394: {"type":"auth_ok","payload":{"user":{"id":8,"nickname":"Bjartur"},"conversations...
[>] ws_69504ec9341fc: {"type":"user_online","payload":{"user":{"id":8,"nickname":"Bjartur"}}}
[<] ws_6950578ed0394: {"type":"load_history","payload":{"conversation_id":1,"before":1766872975,"limit":50}}
[>] ws_6950578ed0394: {"type":"history","payload":{"conversation_id":1,"messages":[{"id":1,"conversati...
[<] ws_69504ec9341fc: {"type":"ping","payload":{}}
[>] ws_69504ec9341fc: {"type":"pong","payload":[]}
[<] ws_69504ec9341fc: {"type":"ping","payload":{}}
[>] ws_69504ec9341fc: {"type":"pong","payload":[]}
[<] ws_69504ec9341fc: {"type":"ping","payload":{}}
[>] ws_69504ec9341fc: {"type":"pong","payload":[]}
[-] Disconnected: ws_6950578ed0394
[>] ws_69504ec9341fc: {"type":"user_offline","payload":{"user_id":8}}
[>] ws_6950578ed0394: {"type":"user_offline","payload":{"user_id":8}}
[<] ws_69504ec9341fc: {"type":"ping","payload":{}}
[>] ws_69504ec9341fc: {"type":"pong","payload":[]}
[<] ws_69504ec9341fc: {"type":"ping","payload":{}}
[>] ws_69504ec9341fc: {"type":"pong","payload":[]}
[<] ws_69504ec9341fc: {"type":"ping","payload":{}}
[>] ws_69504ec9341fc: {"type":"pong","payload":[]}
[<] ws_69504ec9341fc: {"type":"ping","payload":{}}
[>] ws_69504ec9341fc: {"type":"pong","payload":[]}
[<] ws_69504ec9341fc: {"type":"ping","payload":{}}
[>] ws_69504ec9341fc: {"type":"pong","payload":[]}
[<] ws_69504ec9341fc: {"type":"ping","payload":{}}
[>] ws_69504ec9341fc: {"type":"pong","payload":[]}
[+] New connection: ws_69505b7ebaa39
[*] Handshake complete: ws_69505b7ebaa39
[<] ws_69505b7ebaa39: {"type":"auth","payload":{"token":"7a9d18e0c147efe8e36621461304b3a5f7307698774a67ebf3f33ffcbbf9ba56"}}
[>] ws_69505b7ebaa39: {"type":"auth_ok","payload":{"user":{"id":8,"nickname":"Bjartur"},"conversations...
[>] ws_69504ec9341fc: {"type":"user_online","payload":{"user":{"id":8,"nickname":"Bjartur"}}}
[<] ws_69505b7ebaa39: {"type":"load_history","payload":{"conversation_id":1,"before":1766873982,"limit":50}}
[>] ws_69505b7ebaa39: {"type":"history","payload":{"conversation_id":1,"messages":[{"id":1,"conversati...
[-] Disconnected: ws_69505b7ebaa39
[>] ws_69504ec9341fc: {"type":"user_offline","payload":{"user_id":8}}
[>] ws_69505b7ebaa39: {"type":"user_offline","payload":{"user_id":8}}
[<] ws_69504ec9341fc: {"type":"ping","payload":{}}
[>] ws_69504ec9341fc: {"type":"pong","payload":[]}
[<] ws_69504ec9341fc: {"type":"ping","payload":{}}
[>] ws_69504ec9341fc: {"type":"pong","payload":[]}
[<] ws_69504ec9341fc: {"type":"ping","payload":{}}
[>] ws_69504ec9341fc: {"type":"pong","payload":[]}
[<] ws_69504ec9341fc: {"type":"ping","payload":{}}
[>] ws_69504ec9341fc: {"type":"pong","payload":[]}
[<] ws_69504ec9341fc: {"type":"ping","payload":{}}
[>] ws_69504ec9341fc: {"type":"pong","payload":[]}
[<] ws_69504ec9341fc: {"type":"ping","payload":{}}
[>] ws_69504ec9341fc: {"type":"pong","payload":[]}
[+] New connection: ws_69505e5aa23e1
[*] Handshake complete: ws_69505e5aa23e1
[<] ws_69505e5aa23e1: {"type":"auth","payload":{"token":"7a9d18e0c147efe8e36621461304b3a5f7307698774a67ebf3f33ffcbbf9ba56"}}
[>] ws_69505e5aa23e1: {"type":"auth_ok","payload":{"user":{"id":8,"nickname":"Bjartur"},"conversations...
[>] ws_69504ec9341fc: {"type":"user_online","payload":{"user":{"id":8,"nickname":"Bjartur"}}}
[<] ws_69505e5aa23e1: {"type":"load_history","payload":{"conversation_id":1,"before":1766874714,"limit":50}}
[>] ws_69505e5aa23e1: {"type":"history","payload":{"conversation_id":1,"messages":[{"id":1,"conversati...
[-] Disconnected: ws_69505e5aa23e1
[>] ws_69504ec9341fc: {"type":"user_offline","payload":{"user_id":8}}
[>] ws_69505e5aa23e1: {"type":"user_offline","payload":{"user_id":8}}
[<] ws_69504ec9341fc: {"type":"ping","payload":{}}
[>] ws_69504ec9341fc: {"type":"pong","payload":[]}
[<] ws_69504ec9341fc: {"type":"ping","payload":{}}
[>] ws_69504ec9341fc: {"type":"pong","payload":[]}
[<] ws_69504ec9341fc: {"type":"ping","payload":{}}
[>] ws_69504ec9341fc: {"type":"pong","payload":[]}
[<] ws_69504ec9341fc: {"type":"ping","payload":{}}
[>] ws_69504ec9341fc: {"type":"pong","payload":[]}
[<] ws_69504ec9341fc: {"type":"ping","payload":{}}
[>] ws_69504ec9341fc: {"type":"pong","payload":[]}
[<] ws_69504ec9341fc: {"type":"ping","payload":{}}
[>] ws_69504ec9341fc: {"type":"pong","payload":[]}
[<] ws_69504ec9341fc: {"type":"ping","payload":{}}
[>] ws_69504ec9341fc: {"type":"pong","payload":[]}
[<] ws_69504ec9341fc: {"type":"ping","payload":{}}
[>] ws_69504ec9341fc: {"type":"pong","payload":[]}
[<] ws_69504ec9341fc: {"type":"ping","payload":{}}
[>] ws_69504ec9341fc: {"type":"pong","payload":[]}
[<] ws_69504ec9341fc: {"type":"ping","payload":{}}
[>] ws_69504ec9341fc: {"type":"pong","payload":[]}
[<] ws_69504ec9341fc: {"type":"ping","payload":{}}
[>] ws_69504ec9341fc: {"type":"pong","payload":[]}
[<] ws_69504ec9341fc: {"type":"ping","payload":{}}
[>] ws_69504ec9341fc: {"type":"pong","payload":[]}
[<] ws_69504ec9341fc: {"type":"ping","payload":{}}
[>] ws_69504ec9341fc: {"type":"pong","payload":[]}
[<] ws_69504ec9341fc: {"type":"ping","payload":{}}
[>] ws_69504ec9341fc: {"type":"pong","payload":[]}
[<] ws_69504ec9341fc: {"type":"ping","payload":{}}
[>] ws_69504ec9341fc: {"type":"pong","payload":[]}
[<] ws_69504ec9341fc: {"type":"ping","payload":{}}
[>] ws_69504ec9341fc: {"type":"pong","payload":[]}
[<] ws_69504ec9341fc: {"type":"ping","payload":{}}
[>] ws_69504ec9341fc: {"type":"pong","payload":[]}
[<] ws_69504ec9341fc: {"type":"ping","payload":{}}
[>] ws_69504ec9341fc: {"type":"pong","payload":[]}
[<] ws_69504ec9341fc: {"type":"ping","payload":{}}
[>] ws_69504ec9341fc: {"type":"pong","payload":[]}
[<] ws_69504ec9341fc: {"type":"ping","payload":{}}
[>] ws_69504ec9341fc: {"type":"pong","payload":[]}
[<] ws_69504ec9341fc: {"type":"ping","payload":{}}
[>] ws_69504ec9341fc: {"type":"pong","payload":[]}
[<] ws_69504ec9341fc: {"type":"ping","payload":{}}
[>] ws_69504ec9341fc: {"type":"pong","payload":[]}
[<] ws_69504ec9341fc: {"type":"ping","payload":{}}
[>] ws_69504ec9341fc: {"type":"pong","payload":[]}
[<] ws_69504ec9341fc: {"type":"ping","payload":{}}
[>] ws_69504ec9341fc: {"type":"pong","payload":[]}
[<] ws_69504ec9341fc: {"type":"ping","payload":{}}
[>] ws_69504ec9341fc: {"type":"pong","payload":[]}
[<] ws_69504ec9341fc: {"type":"ping","payload":{}}
[>] ws_69504ec9341fc: {"type":"pong","payload":[]}
[<] ws_69504ec9341fc: {"type":"ping","payload":{}}
[>] ws_69504ec9341fc: {"type":"pong","payload":[]}
[<] ws_69504ec9341fc: {"type":"ping","payload":{}}
[>] ws_69504ec9341fc: {"type":"pong","payload":[]}
[<] ws_69504ec9341fc: {"type":"ping","payload":{}}
[>] ws_69504ec9341fc: {"type":"pong","payload":[]}
[<] ws_69504ec9341fc: {"type":"ping","payload":{}}
[>] ws_69504ec9341fc: {"type":"pong","payload":[]}
[<] ws_69504ec9341fc: {"type":"ping","payload":{}}
[>] ws_69504ec9341fc: {"type":"pong","payload":[]}
[<] ws_69504ec9341fc: {"type":"ping","payload":{}}
[>] ws_69504ec9341fc: {"type":"pong","payload":[]}
[<] ws_69504ec9341fc: {"type":"ping","payload":{}}
[>] ws_69504ec9341fc: {"type":"pong","payload":[]}
[<] ws_69504ec9341fc: {"type":"ping","payload":{}}
[>] ws_69504ec9341fc: {"type":"pong","payload":[]}
[<] ws_69504ec9341fc: {"type":"ping","payload":{}}
[>] ws_69504ec9341fc: {"type":"pong","payload":[]}
[<] ws_69504ec9341fc: {"type":"ping","payload":{}}
[>] ws_69504ec9341fc: {"type":"pong","payload":[]}
[<] ws_69504ec9341fc: {"type":"ping","payload":{}}
[>] ws_69504ec9341fc: {"type":"pong","payload":[]}
[<] ws_69504ec9341fc: {"type":"ping","payload":{}}
[>] ws_69504ec9341fc: {"type":"pong","payload":[]}
[<] ws_69504ec9341fc: {"type":"ping","payload":{}}
[>] ws_69504ec9341fc: {"type":"pong","payload":[]}
[<] ws_69504ec9341fc: {"type":"ping","payload":{}}
[>] ws_69504ec9341fc: {"type":"pong","payload":[]}
[<] ws_69504ec9341fc: {"type":"ping","payload":{}}
[>] ws_69504ec9341fc: {"type":"pong","payload":[]}
[<] ws_69504ec9341fc: {"type":"ping","payload":{}}
[>] ws_69504ec9341fc: {"type":"pong","payload":[]}
